"file","n_edges","total_length","mean_edge_length","median_edge_length","sd_edge_length","min_edge_length","max_edge_length","n_nodes","n_tips","n_branches","tip_fraction","branch_fraction","tip_density"
"C5_004_calculations.json",5,0.103857742384289,0.0207715484768579,0.0155100772376934,0.0110778988316056,0.0126391773862068,0.0393171002066986,10,10,0,1,0,96.285551470958
"C5_005_calculations.json",4,0.135990841569944,0.0339977103924859,0.0304395425529144,0.0273226687420606,0.0105260004275128,0.0645857560366022,8,8,0,1,0,58.8274909372142
"C5_006_calculations.json",15,0.328964198372119,0.0219309465581413,0.0214902425533078,0.0101326487115944,0.0101759737126232,0.0457868176870176,28,26,0,0.928571428571429,0,79.035956279319
"C5_007_calculations.json",27,0.533144709504061,0.0197461003520023,0.0150201787605874,0.0122511127219211,0.00606383129712561,0.0513600824007745,50,47,1,0.94,0.02,88.1561781673123
"C5_008_calculations.json",2,0.111137699196837,0.0555688495984183,0.0555688495984183,0.0632197719710799,0.0108657201326005,0.100271979064236,4,4,0,1,0,35.9913875211289
"C5_009_calculations.json",4,0.203073328491427,0.0507683321228568,0.0222233237961895,0.0620726093499512,0.01506421508078,0.143562465818268,6,5,1,0.833333333333333,0.166666666666667,24.6216479394096
"C5_010_calculations.json",83,1.89468249148148,0.0228274998973673,0.0155584598896128,0.016396232509598,0.00576389625166869,0.0841635998504005,154,147,5,0.954545454545455,0.0324675324675325,77.5855588790808
"C5_011_calculations.json",105,2.99587141750637,0.0285321087381559,0.0187603419766859,0.0283230027205253,0.00539972453001079,0.19038215006991,196,189,7,0.964285714285714,0.0357142857142857,63.0868197131489
"C5_012_calculations.json",200,5.61722837105795,0.0280861418552897,0.0200634961525579,0.0236871263098954,0.00510360656790865,0.181482162024208,308,270,37,0.876623376623377,0.12012987012987,48.066409653405
"C5_013_calculations.json",404,9.68076492010688,0.0239622894062051,0.0170507715164381,0.0176513019189297,0.00577927928032555,0.145493145854924,541,432,105,0.798521256931608,0.194085027726433,44.6245729098058
"C5_014_calculations.json",593,13.7762778032165,0.023231497138645,0.0182453451024656,0.0156254337780142,0.00561116895129705,0.154540165854275,618,416,184,0.673139158576052,0.297734627831715,30.1968358900887
"C5_015_calculations.json",1026,23.8396627312528,0.0232355387244179,0.0185010640066253,0.0152431207514132,0.00563065830964726,0.125586619200997,921,593,312,0.64386536373507,0.338762214983713,24.874512978013
"C5_016_calculations.json",1378,32.2083625983184,0.0233732674878943,0.0190492459106752,0.0156374640308268,0.00539473539666214,0.157316363119803,1250,796,427,0.6368,0.3416,24.7140784499725
"C5_017_calculations.json",1787,41.6163513719605,0.0232883891281256,0.0180517668110354,0.0157111875798158,0.00523917646200241,0.159975966462301,1815,1271,525,0.700275482093664,0.289256198347107,30.5408801612616
"C5_018_calculations.json",1386,31.8986101831479,0.0230148702620115,0.0180583649143501,0.0150382384146892,0.00515008941669951,0.132013454360789,1403,939,429,0.66928011404134,0.305773342836778,29.4370191870013
"C5_019_calculations.json",1092,25.9708421155804,0.0237828224501652,0.0187575755210003,0.0164305561460866,0.00502594120538631,0.135932264715707,1145,791,340,0.690829694323144,0.296943231441048,30.4572334035123
"C5_020_calculations.json",916,22.1302420743376,0.0241596529195825,0.0183628186952463,0.0172583217632535,0.00547978220370117,0.151973676958504,1005,725,263,0.721393034825871,0.261691542288557,32.7605996158857
"G12_003_calculations.json",68,1.34481417844006,0.0197766790947068,0.0166454976540541,0.00848104773593153,0.0097873128517996,0.0461811207126232,134,133,1,0.992537313432836,0.00746268656716418,98.898421902627
"G12_004_calculations.json",123,2.86730171735628,0.0233113960760674,0.0170208097880071,0.0163492927375045,0.00527890481065911,0.0897092652815018,244,243,1,0.995901639344262,0.0040983606557377,84.748667546592
"G12_005_calculations.json",191,5.72137258187721,0.0299548302716084,0.0214732345671864,0.0228159398689411,0.00505397121084008,0.148562852034954,356,344,12,0.966292134831461,0.0337078651685393,60.1254323288856
"G12_006_calculations.json",303,9.01343598929614,0.0297473134960269,0.0201346412930551,0.0239819411996686,0.00536102229057113,0.149715791799069,508,463,43,0.911417322834646,0.0846456692913386,51.3677581501476
"G12_007_calculations.json",533,16.4671404505959,0.0308951978435196,0.0226091709710904,0.0241304784451973,0.00519981095810223,0.171189029452646,802,687,112,0.856608478802993,0.139650872817955,41.719447408681
"G12_008_calculations.json",1005,28.501488151617,0.0283596897031015,0.0202751123958706,0.0241143502402651,0.00532451406233472,0.31786781911192,1261,960,290,0.761300555114988,0.229976209357653,33.6824517685942
"G12_009_calculations.json",1598,40.7075478919661,0.0254740600074882,0.0196814519053696,0.0171477137909477,0.00514808003045796,0.132141862919753,1799,1291,483,0.717620900500278,0.268482490272374,31.714020294865
"G12_010_calculations.json",2157,51.5299705639933,0.0238896479202566,0.0188242979683174,0.0157463067705015,0.00512808599771885,0.159656545738978,2243,1570,638,0.69995541685243,0.284440481497994,30.4677061293926
"G12_011_calculations.json",2473,56.9529804157799,0.0230299152510231,0.0182204438420583,0.0140961829710588,0.00520080041916636,0.132341802927877,2496,1698,755,0.680288461538462,0.302483974358974,29.8140674571183
"G12_012_calculations.json",2553,57.9204512043067,0.0226872115958899,0.0181413893900109,0.0137437077768476,0.00589888404700416,0.147490342567536,2664,1887,738,0.708333333333333,0.277027027027027,32.5791660935765
"G12_013_calculations.json",2466,54.2182845606845,0.0219863278834892,0.0170874285790557,0.0137180044562401,0.00542013431567892,0.11605869984776,2692,1951,709,0.724739970282318,0.263372956909361,35.9841705765574
