"geometry","file","degree","betweenness","closeness","component"
c(0.690261, 0.781124),"C5_010_calculations.json",1,0,1,24
c(0.693775, 0.773594),"C5_010_calculations.json",1,0,1,24
c(0.845884, 0.782129),"C5_010_calculations.json",1,0,1,25
c(0.846888, 0.774598),"C5_010_calculations.json",1,0,1,25
c(0.869177, 0.768524),"C5_010_calculations.json",1,0,1,26
c(0.866466, 0.755522),"C5_010_calculations.json",1,0,1,26
c(0.657631, 0.772088),"C5_010_calculations.json",1,0,1,27
c(0.65738, 0.764558),"C5_010_calculations.json",1,0,1,27
c(0.773594, 0.766315),"C5_010_calculations.json",1,0,1,28
c(0.784137, 0.762048),"C5_010_calculations.json",1,0,1,28
c(0.954819, 0.75),"C5_010_calculations.json",1,0,1,29
c(0.964357, 0.736948),"C5_010_calculations.json",1,0,1,29
c(0.866466, 0.743474),"C5_010_calculations.json",1,0,1,30
c(0.860944, 0.732932),"C5_010_calculations.json",1,0,1,30
c(0.878012, 0.736948),"C5_010_calculations.json",1,0,1,31
c(0.888052, 0.721888),"C5_010_calculations.json",1,0,1,31
c(0.508283, 0.528112),"C5_010_calculations.json",1,0,1,32
c(0.546185, 0.508032),"C5_010_calculations.json",1,0,1,32
c(0.632656, 0.449674),"C5_010_calculations.json",1,0,1,33
c(0.626757, 0.446536),"C5_010_calculations.json",1,0,1,33
c(0.615964, 0.434237),"C5_010_calculations.json",1,0,1,34
c(0.621486, 0.428715),"C5_010_calculations.json",1,0,1,34
c(0.978079, 0.420181),"C5_010_calculations.json",1,0,1,35
c(0.978414, 0.413655),"C5_010_calculations.json",1,0,1,35
c(0.001506, 0.414659),"C5_010_calculations.json",1,0,1,36
c(0.011546, 0.413655),"C5_010_calculations.json",1,0,1,36
c(0.240964, 0.396586),"C5_010_calculations.json",1,0,1,37
c(0.271586, 0.392068),"C5_010_calculations.json",1,0,1,37
c(0.690562, 0.386094),"C5_010_calculations.json",1,0,1,38
c(0.669679, 0.373494),"C5_010_calculations.json",1,0,1,38
c(0.035643, 0.340361),"C5_010_calculations.json",1,0,0.2,2
c(0.013631, 0.31418),"C5_010_calculations.json",3,3,0.333333333333333,2
c(0.0251, 0.317771),"C5_010_calculations.json",1,0,0.2,2
c(0.822289, 0.313002),"C5_010_calculations.json",1,0,1,39
c(0.817102, 0.306894),"C5_010_calculations.json",1,0,1,39
c(0.944779, 0.315763),"C5_010_calculations.json",1,0,1,40
c(0.941767, 0.311747),"C5_010_calculations.json",1,0,1,40
c(0.008032, 0.303715),"C5_010_calculations.json",1,0,0.2,2
c(0.064759, 0.308233),"C5_010_calculations.json",1,0,1,41
c(0.051492, 0.301348),"C5_010_calculations.json",1,0,1,41
c(0.021084, 0.299699),"C5_010_calculations.json",1,0,1,42
c(0.026606, 0.289491),"C5_010_calculations.json",1,0,1,42
c(0.0625, 0.286521),"C5_010_calculations.json",1,0,1,43
c(0.073795, 0.284639),"C5_010_calculations.json",1,0,1,43
c(0.012048, 0.297189),"C5_010_calculations.json",1,0,1,44
c(0.016315, 0.291416),"C5_010_calculations.json",1,0,1,44
c(0.532882, 0.280873),"C5_010_calculations.json",1,0,1,45
c(0.536145, 0.274598),"C5_010_calculations.json",1,0,1,45
c(0.478581, 0.26824),"C5_010_calculations.json",1,0,1,46
c(0.488454, 0.264558),"C5_010_calculations.json",1,0,1,46
c(0.440763, 0.258032),"C5_010_calculations.json",1,0,1,47
c(0.430723, 0.255522),"C5_010_calculations.json",1,0,1,47
c(0.994603, 0.251381),"C5_010_calculations.json",1,0,1,48
c(0.986446, 0.241968),"C5_010_calculations.json",1,0,1,48
c(0.329317, 0.218876),"C5_010_calculations.json",1,0,1,49
c(0.335241, 0.213655),"C5_010_calculations.json",1,0,1,49
c(0.8084, 0.206995),"C5_010_calculations.json",1,0,1,50
c(0.793675, 0.198293),"C5_010_calculations.json",1,0,1,50
c(0.046687, 0.192269),"C5_010_calculations.json",1,0,1,51
c(0.055221, 0.185241),"C5_010_calculations.json",1,0,1,51
c(0.450301, 0.187249),"C5_010_calculations.json",1,0,1,52
c(0.471888, 0.181727),"C5_010_calculations.json",1,0,1,52
c(0.816767, 0.176205),"C5_010_calculations.json",1,0,1,53
c(0.809237, 0.162651),"C5_010_calculations.json",1,0,1,53
c(0.879016, 0.158133),"C5_010_calculations.json",1,0,1,54
c(0.873243, 0.154367),"C5_010_calculations.json",1,0,1,54
c(0.805221, 0.1501),"C5_010_calculations.json",1,0,1,55
c(0.792169, 0.132028),"C5_010_calculations.json",1,0,1,55
c(0.774159, 0.11383),"C5_010_calculations.json",3,3,0.333333333333333,3
c(0.786145, 0.124498),"C5_010_calculations.json",1,0,0.2,3
c(0.794177, 0.100502),"C5_010_calculations.json",1,0,1,56
c(0.824799, 0.03012),"C5_010_calculations.json",1,0,1,56
c(0.71419, 0.06158),"C5_010_calculations.json",3,3,0.333333333333333,4
c(0.756024, 0.025602),"C5_010_calculations.json",1,0,0.2,4
c(0.7249, 0.072289),"C5_010_calculations.json",1,0,0.2,4
c(0.111697, 0.069026),"C5_010_calculations.json",1,0,0.2,5
c(0.092698, 0.05943),"C5_010_calculations.json",3,3,0.333333333333333,5
c(0.109772, 0.056058),"C5_010_calculations.json",1,0,0.2,5
c(0.103916, 0.053715),"C5_010_calculations.json",1,0,0.2,5
c(0.659471, 0.044344),"C5_010_calculations.json",1,0,1,57
c(0.65261, 0.040161),"C5_010_calculations.json",1,0,1,57
c(0.681392, 0.029786),"C5_010_calculations.json",1,0,1,58
c(0.668574, 0.004819),"C5_010_calculations.json",1,0,1,58
c(0.651021, 0.008785),"C5_010_calculations.json",1,0,1,59
c(0.644202, 0.016817),"C5_010_calculations.json",1,0,1,59
c(0.760542, 0.020582),"C5_010_calculations.json",1,0,1,60
c(0.76506, 0.00753),"C5_010_calculations.json",1,0,1,60
c(0.309864, 0.919616),"C5_010_calculations.json",2,0,NA,72
c(0.348092, 0.907329),"C5_010_calculations.json",1,0,1,61
c(0.369143, 0.906292),"C5_010_calculations.json",1,0,1,61
c(0.380522, 0.894578),"C5_010_calculations.json",1,0,1,62
c(0.371486, 0.877259),"C5_010_calculations.json",1,0,1,62
c(0.913655, 0.794177),"C5_010_calculations.json",1,0,1,63
c(0.920181, 0.802209),"C5_010_calculations.json",1,0,1,63
c(0.862349, 0.777711),"C5_010_calculations.json",2,0,NA,73
c(0.429217, 0.528614),"C5_010_calculations.json",1,0,1,64
c(0.490462, 0.536647),"C5_010_calculations.json",1,0,1,64
c(0.36747, 0.285141),"C5_010_calculations.json",1,0,1,65
c(0.329317, 0.283635),"C5_010_calculations.json",1,0,1,65
c(0.982095, 0.23929),"C5_010_calculations.json",1,0,1,66
c(0.958835, 0.241968),"C5_010_calculations.json",1,0,1,66
c(0.382279, 0.243097),"C5_010_calculations.json",1,0,1,67
c(0.398594, 0.228414),"C5_010_calculations.json",1,0,1,67
c(0.403614, 0.225904),"C5_010_calculations.json",1,0,1,68
c(0.436747, 0.191265),"C5_010_calculations.json",1,0,1,68
c(0.805723, 0.186747),"C5_010_calculations.json",1,0,1,69
c(0.824297, 0.198795),"C5_010_calculations.json",1,0,1,69
c(0.944779, 0.196285),"C5_010_calculations.json",1,0,1,70
c(0.951305, 0.182229),"C5_010_calculations.json",1,0,1,70
c(0.959739, 0.183333),"C5_010_calculations.json",1,0,1,71
c(0.965529, 0.164157),"C5_010_calculations.json",1,0,1,71
c(0.785141, 0.129518),"C5_010_calculations.json",1,0,0.2,3
c(0.773092, 0.096486),"C5_010_calculations.json",1,0,0.2,3
c(0.683233, 0.039993),"C5_010_calculations.json",1,0,0.2,4
c(0.340808, 0.982653),"C5_011_calculations.json",1,0,1,6
c(0.329066, 0.978163),"C5_011_calculations.json",1,0,1,6
c(0.675201, 0.977159),"C5_011_calculations.json",1,0,1,7
c(0.686747, 0.965361),"C5_011_calculations.json",1,0,1,7
c(0.640311, 0.970131),"C5_011_calculations.json",1,0,1,8
c(0.634538, 0.964859),"C5_011_calculations.json",1,0,1,8
c(0.528949, 0.967202),"C5_011_calculations.json",1,0,1,9
c(0.524096, 0.957831),"C5_011_calculations.json",1,0,1,9
c(0.670683, 0.952309),"C5_011_calculations.json",1,0,1,10
c(0.680723, 0.948795),"C5_011_calculations.json",1,0,1,10
c(0.614458, 0.950301),"C5_011_calculations.json",1,0,1,11
c(0.610944, 0.942771),"C5_011_calculations.json",1,0,1,11
c(0.342369, 0.934237),"C5_011_calculations.json",1,0,1,12
c(0.363286, 0.921519),"C5_011_calculations.json",1,0,1,12
c(0.397841, 0.914073),"C5_011_calculations.json",1,0,1,13
c(0.384538, 0.918675),"C5_011_calculations.json",1,0,1,13
c(0.302334, 0.915663),"C5_011_calculations.json",1,0,0.2,2
c(0.299297, 0.905873),"C5_011_calculations.json",3,3,0.333333333333333,2
c(0.296084, 0.890964),"C5_011_calculations.json",1,0,0.2,2
c(0.293675, 0.896586),"C5_011_calculations.json",1,0,0.2,2
c(0.363454, 0.909137),"C5_011_calculations.json",1,0,1,14
c(0.35492, 0.901104),"C5_011_calculations.json",1,0,1,14
c(0.336919, 0.902324),"C5_011_calculations.json",1,0,1,15
c(0.350402, 0.90261),"C5_011_calculations.json",1,0,1,15
c(0.379267, 0.895582),"C5_011_calculations.json",1,0,1,16
c(0.355924, 0.862952),"C5_011_calculations.json",1,0,1,16
c(0.648594, 0.89508),"C5_011_calculations.json",1,0,1,17
c(0.661647, 0.866466),"C5_011_calculations.json",1,0,1,17
c(0.319444, 0.878347),"C5_011_calculations.json",1,0,1,18
c(0.32064, 0.865247),"C5_011_calculations.json",1,0,1,18
c(0.318022, 0.832329),"C5_011_calculations.json",3,11,0.0769230769230769,1
c(0.31911, 0.817185),"C5_011_calculations.json",3,15,0.0909090909090909,1
c(0.303213, 0.833333),"C5_011_calculations.json",1,0,0.0526315789473684,1
c(0.303464, 0.818148),"C5_011_calculations.json",1,0,0.0588235294117647,1
c(0.305422, 0.800803),"C5_011_calculations.json",3,11,0.0769230769230769,1
c(0.316767, 0.808735),"C5_011_calculations.json",1,0,0.0526315789473684,1
c(0.460843, 0.856677),"C5_011_calculations.json",1,0,1,19
c(0.462015, 0.851406),"C5_011_calculations.json",1,0,1,19
c(0.394578, 0.850234),"C5_011_calculations.json",1,0,1,20
c(0.388805, 0.838855),"C5_011_calculations.json",1,0,1,20
c(0.695281, 0.843039),"C5_011_calculations.json",1,0,1,21
c(0.694277, 0.837349),"C5_011_calculations.json",1,0,1,21
c(0.374498, 0.827309),"C5_011_calculations.json",1,0,1,22
c(0.329652, 0.817436),"C5_011_calculations.json",1,0,1,22
c(0.673695, 0.807229),"C5_011_calculations.json",1,0,1,23
c(0.678715, 0.798193),"C5_011_calculations.json",1,0,1,23
c(0.284639, 0.798025),"C5_011_calculations.json",1,0,0.0526315789473684,1
c(0.721386, 0.794679),"C5_011_calculations.json",1,0,1,24
c(0.73243, 0.789659),"C5_011_calculations.json",1,0,1,24
c(0.945156, 0.784011),"C5_011_calculations.json",1,0,1,25
c(0.939759, 0.772134),"C5_011_calculations.json",1,0,1,25
c(0.849398, 0.783384),"C5_011_calculations.json",1,0,0.2,3
c(0.846242, 0.771658),"C5_011_calculations.json",3,3,0.333333333333333,3
c(0.828313, 0.761295),"C5_011_calculations.json",1,0,0.2,3
c(0.865211, 0.771837),"C5_011_calculations.json",1,0,0.2,3
c(0.776983, 0.765813),"C5_011_calculations.json",1,0,1,26
c(0.7874, 0.761797),"C5_011_calculations.json",1,0,1,26
c(0.947791, 0.747992),"C5_011_calculations.json",1,0,1,27
c(0.96511, 0.728414),"C5_011_calculations.json",1,0,1,27
c(0.867972, 0.744478),"C5_011_calculations.json",1,0,1,28
c(0.85994, 0.729418),"C5_011_calculations.json",1,0,1,28
c(0.499498, 0.53079),"C5_011_calculations.json",1,0,1,29
c(0.480422, 0.526104),"C5_011_calculations.json",1,0,1,29
c(0.513554, 0.526104),"C5_011_calculations.json",1,0,1,30
c(0.561747, 0.501004),"C5_011_calculations.json",1,0,1,30
c(0.764056, 0.424197),"C5_011_calculations.json",1,0,1,31
c(0.74247, 0.401104),"C5_011_calculations.json",1,0,1,31
c(0.97741, 0.421687),"C5_011_calculations.json",1,0,1,32
c(0.973394, 0.417671),"C5_011_calculations.json",1,0,1,32
c(0.242972, 0.397088),"C5_011_calculations.json",1,0,1,33
c(0.272088, 0.39257),"C5_011_calculations.json",1,0,1,33
c(0.354543, 0.342495),"C5_011_calculations.json",1,0,1,34
c(0.35241, 0.337349),"C5_011_calculations.json",1,0,1,34
c(0.068273, 0.311747),"C5_011_calculations.json",1,0,1,35
c(0.058902, 0.30656),"C5_011_calculations.json",1,0,1,35
c(0.023343, 0.298946),"C5_011_calculations.json",1,0,1,36
c(0.02761, 0.289157),"C5_011_calculations.json",1,0,1,36
c(0.057982, 0.289742),"C5_011_calculations.json",1,0,1,37
c(0.096386, 0.278363),"C5_011_calculations.json",1,0,1,37
c(0.006275, 0.28991),"C5_011_calculations.json",1,0,1,38
c(0.019076, 0.282631),"C5_011_calculations.json",1,0,1,38
c(0.325803, 0.286647),"C5_011_calculations.json",1,0,1,39
c(0.367805, 0.270415),"C5_011_calculations.json",1,0,1,39
c(0.040663, 0.277108),"C5_011_calculations.json",1,0,1,40
c(0.050703, 0.275937),"C5_011_calculations.json",1,0,1,40
c(0.407129, 0.271084),"C5_011_calculations.json",1,0,1,41
c(0.406627, 0.265562),"C5_011_calculations.json",1,0,1,41
c(0.373996, 0.265562),"C5_011_calculations.json",1,0,1,42
c(0.377845, 0.245649),"C5_011_calculations.json",1,0,1,42
c(0.454819, 0.26506),"C5_011_calculations.json",1,0,1,43
c(0.460843, 0.264056),"C5_011_calculations.json",1,0,1,43
c(0.981426, 0.254016),"C5_011_calculations.json",1,0,1,44
c(0.991299, 0.250335),"C5_011_calculations.json",1,0,1,44
c(0.995683, 0.238353),"C5_011_calculations.json",1,0,1,45
c(0.988956, 0.229418),"C5_011_calculations.json",1,0,1,45
c(0.973896, 0.248996),"C5_011_calculations.json",1,0,0.2,4
c(0.976908, 0.239458),"C5_011_calculations.json",3,3,0.333333333333333,4
c(0.988239, 0.242936),"C5_011_calculations.json",1,0,0.2,4
c(0.6501, 0.246988),"C5_011_calculations.json",1,0,1,46
c(0.649849, 0.241215),"C5_011_calculations.json",1,0,1,46
c(0.094503, 0.242721),"C5_011_calculations.json",1,0,1,47
c(0.09739, 0.235944),"C5_011_calculations.json",1,0,1,47
c(0.375941, 0.238266),"C5_011_calculations.json",1,0,1,48
c(0.379518, 0.225904),"C5_011_calculations.json",1,0,1,48
c(0.419051, 0.20758),"C5_011_calculations.json",1,0,1,49
c(0.434488, 0.196787),"C5_011_calculations.json",1,0,1,49
c(0.782129, 0.205823),"C5_011_calculations.json",1,0,1,50
c(0.791667, 0.205321),"C5_011_calculations.json",1,0,1,50
c(0.604669, 0.205949),"C5_011_calculations.json",1,0,1,51
c(0.61245, 0.205321),"C5_011_calculations.json",1,0,1,51
c(0.836847, 0.206325),"C5_011_calculations.json",1,0,1,52
c(0.861446, 0.203313),"C5_011_calculations.json",1,0,1,52
c(0.04744, 0.193022),"C5_011_calculations.json",1,0,1,53
c(0.055054, 0.183568),"C5_011_calculations.json",1,0,1,53
c(0.811245, 0.188755),"C5_011_calculations.json",1,0,1,54
c(0.804719, 0.183233),"C5_011_calculations.json",1,0,1,54
c(0.473728, 0.175368),"C5_011_calculations.json",1,0,1,55
c(0.497992, 0.151606),"C5_011_calculations.json",1,0,1,55
c(0.814759, 0.172691),"C5_011_calculations.json",1,0,1,56
c(0.810241, 0.163153),"C5_011_calculations.json",1,0,1,56
c(0.687751, 0.157631),"C5_011_calculations.json",1,0,1,57
c(0.68499, 0.151857),"C5_011_calculations.json",1,0,1,57
c(0.810241, 0.154618),"C5_011_calculations.json",1,0,1,58
c(0.793675, 0.134036),"C5_011_calculations.json",1,0,1,58
c(0.789659, 0.114793),"C5_011_calculations.json",1,0,0.2,5
c(0.78581, 0.102131),"C5_011_calculations.json",3,3,0.333333333333333,5
c(0.771084, 0.096888),"C5_011_calculations.json",1,0,0.2,5
c(0.781627, 0.088855),"C5_011_calculations.json",1,0,0.2,5
c(0.72992, 0.093876),"C5_011_calculations.json",1,0,1,59
c(0.720382, 0.062123),"C5_011_calculations.json",1,0,1,59
c(0.716114, 0.057229),"C5_011_calculations.json",1,0,1,60
c(0.761546, 0.004351),"C5_011_calculations.json",1,0,1,60
c(0.699465, 0.091867),"C5_011_calculations.json",1,0,1,61
c(0.697791, 0.086847),"C5_011_calculations.json",1,0,1,61
c(0.116251, 0.084696),"C5_011_calculations.json",1,0,1,62
c(0.096888, 0.082544),"C5_011_calculations.json",1,0,1,62
c(0.120181, 0.057129),"C5_011_calculations.json",1,0,1,63
c(0.132865, 0.052711),"C5_011_calculations.json",1,0,1,63
c(0.100904, 0.046185),"C5_011_calculations.json",1,0,1,64
c(0.101908, 0.035894),"C5_011_calculations.json",1,0,1,64
c(0.67997, 0.027359),"C5_011_calculations.json",1,0,1,65
c(0.671687, 0.007781),"C5_011_calculations.json",1,0,1,65
c(0.775602, 0.021084),"C5_011_calculations.json",1,0,1,66
c(0.778363, 0.013303),"C5_011_calculations.json",1,0,1,66
c(0.657129, 0.949046),"C5_011_calculations.json",1,0,1,67
c(0.658635, 0.938253),"C5_011_calculations.json",1,0,1,67
c(0.324799, 0.945783),"C5_011_calculations.json",1,0,1,68
c(0.306894, 0.918675),"C5_011_calculations.json",1,0,1,68
c(0.423695, 0.933735),"C5_011_calculations.json",1,0,1,69
c(0.406827, 0.917972),"C5_011_calculations.json",1,0,1,69
c(0.629267, 0.901606),"C5_011_calculations.json",1,0,1,70
c(0.644746, 0.860609),"C5_011_calculations.json",1,0,1,70
c(0.365713, 0.903363),"C5_011_calculations.json",1,0,1,71
c(0.366717, 0.894327),"C5_011_calculations.json",1,0,1,71
c(0.307564, 0.870649),"C5_011_calculations.json",1,0,0.0526315789473684,1
c(0.265897, 0.83417),"C5_011_calculations.json",1,0,1,72
