clusterIndex,lineIndex0,lineIndex1,lineIndex2,lineIndex3,lineIndex4,lineIndex5
0,0,1,2,3,4,5
1,6,7
2,8,9,10,11
3,12,13,14
4,15,16
5,17,18,19,20
6,21
7,22,24,23,25
8,26,27,28,29
9,30
10,31,32
11,33,34
12,35
13,36
