lineIndex,pointIndex0,pointIndex1,pointIndex2,pointIndex3,pointIndex4,pointIndex5,pointIndex6,pointIndex7,pointIndex8,pointIndex9,pointIndex10,pointIndex11,pointIndex12
0,0,1
1,1,3,4
2,4,5,6,7,8
3,9,12
4,10,12
5,12,14,16
6,12,15
7,17,18,19,20,21
8,21,23,24
9,24,25
10,25,26,28,30
11,27,29,31
12,36,35,32,33,34
13,37,38,39
14,39,40,41,42,43,44,45,46,47,48
15,49,53,54
16,50,51,52
17,55,56,57
18,57,58,60
19,60,61
20,61,62,64
21,66,68,69
22,71,72,75
23,73,74
24,73,76
25,73,77
26,76,78
27,79,80,81,82,83,84,85,86,87,88,89,90,91
28,92,93,94,95
29,95,96,97,98
30,103,104,105
31,105,107,108,109
32,109,110
33,110,112,113
34,114,115,116,117,118,119,120,121,122,123,124
35,125,126,127
36,127,128
37,127,129,132
38,128,130,131,134
39,134,135,137
40,137,139
41,137,138,140
42,139,141,142,143
43,143,145
44,145,147,148,149,150,151,152,153
45,154,155,156,157
46,157,158,160
47,157,159,163,166,167
48,160,162,164,165
49,168,169
50,169,170
51,169,171,173,174,175,176,177
52,170,172
53,178,179,180
54,180,181,183
55,182,184,186,183
56,182,188
57,188,189,190
58,190,191,192
59,193,194
60,194,195,196
61,194,199
62,197,198,201
63,200,204
64,201,205,194
65,206,207,208,209,210
66,210,211,212
67,212,213,229
68,215,216,217,218,219
69,219,220,222
70,219,221
71,222,225,226
72,222,227
73,224,228,231
74,224,229
75,227,230
76,231,233
77,231,235,238
78,230,236
79,230,237,240
80,238,239
81,238,239
82,240,242
83,245,246,248,249
84,249,250,252,254,257
85,251,253
86,253,256,260
87,257,258,261
88,259,263,264,265,266,267,268,269,270
89,272,273,275
90,272,274
91,274,276,277
92,277,279
93,280,284,285,286,287,288
94,280,281,282,283
95,289,276
96,289,290,293,294
97,289,291,292
98,296,297,298,300,303
99,296,299
100,299,301,304,306
101,299,302,305
102,306,308,309,310,311
103,311,312,313
104,313,314,315,319
105,318,320
106,319,321
107,319,321
108,320,323,321,324,325
109,327,329,325
110,328,330,331
111,238,332
112,332,333
113,333,336
114,337,338,339,340
115,341,342
116,342,344,345
117,345,346
118,351,353,354
119,351,355
120,352,356,357,360
121,355,358,359
122,360,361,362,363
