clusterIndex,lineIndex0,lineIndex1,lineIndex2,lineIndex3,lineIndex4
0,0,1,2
1,3
2,4
3,5,6
4,7
5,8,9,10
6,11,12,13,14
7,15
8,16,17,18
9,19
10,20
11,21,22,24
12,23
13,25
14,26,27,28,29,30
15,31
