lineIndex,pointIndex0,pointIndex1,pointIndex2,pointIndex3,pointIndex4,pointIndex5
0,0,1,3,4
1,5,6,7
2,7,9,11
3,12,13,14
4,14,15,16,17
5,18,19,20
6,20,22,25
7,20,23,26,27,28,29
8,20,24
