clusterIndex,lineIndex0,lineIndex1,lineIndex2,lineIndex3,lineIndex4,lineIndex5,lineIndex6,lineIndex7,lineIndex8,lineIndex9,lineIndex10,lineIndex11,lineIndex12,lineIndex13,lineIndex14,lineIndex15,lineIndex16,lineIndex17,lineIndex18
0,0,1,3
1,2
2,4,5
3,6
4,7,8,9,10
5,11,12,13,16,17,14,15,18,19
6,20,21
7,22,23,24,26
8,25
9,27,28,29,30,31
10,32,33
11,34,35
12,36,37,38,39
13,40,41,42,43
14,44,45,46,47,48,49,50,51,52,53,55,56,57,59,63,58,60,61,62
15,54
16,64,65,66
17,67,68,69,70
18,71,72
19,73,74
20,75,76
21,77,78,79,80,81
22,82
23,83
24,84,85,86,87,88,89,90,91
25,92,93,94,96,95
26,97,98
27,99,100
