pointIndex,x,y
0,0.11844747410695415,0.9943722257450857
1,0.1302710843373494,0.9959839357429718
2,0.12640562248995985,0.9839357429718876
3,0.1355421686746988,0.9984939759036144
4,0.10818273092369478,0.9994979919678715
5,0.1363179992698065,0.9814713399050748
6,0.11345381526104417,0.9854417670682731
7,0.10083189902467012,0.9903184165232358
8,0.14231927710843373,0.9882028112449799
9,0.14633534136546184,0.9811244979919678
10,0.09772423025435073,0.982764390896921
11,0.09362449799196787,0.9984939759036144
12,0.14357429718875503,0.9964859437751004
13,0.14437751004016064,0.9686746987951806
14,0.15853891757506217,0.9868999808758845
15,0.08872991967871485,0.995105421686747
16,0.1395582329317269,1.0
17,0.14859437751004015,1.0
18,0.142570281124498,0.9628514056224899
19,0.15378179384203483,0.9709950914770192
20,0.15436746987951808,0.9964859437751004
21,0.0818273092369478,0.9964859437751004
22,0.15461847389558234,0.9643574297188755
23,0.08320783132530121,0.9582078313253012
24,0.08960843373493976,0.9497991967871486
25,0.1642821285140562,0.9968624497991968
26,0.1671686746987952,0.9773379231210556
27,0.08634538152610442,0.945281124497992
28,0.06902610441767068,0.9839357429718876
29,0.16516064257028112,0.9683734939759037
30,0.17218875502008033,0.9754016064257028
31,0.1704819277108434,0.9471887550200803
32,0.17419678714859438,0.9994979919678715
33,0.06877510040160642,0.9761546184738956
34,0.08634538152610442,0.9372489959839357
35,0.17398164084911075,0.9582616179001722
36,0.17771084337349397,0.9819277108433736
37,0.05923694779116466,0.9934738955823293
38,0.09080070281124497,0.9298443775100401
39,0.17269076305220885,0.9661144578313253
40,0.18122489959839358,0.9869477911646586
41,0.17988621151271753,0.9646921017402944
42,0.1846887550200803,0.9752008032128515
43,0.18147590361445784,0.9570783132530121
44,0.17904953145917002,0.9938085676037484
45,0.107095046854083,0.9255354752342703
46,0.08684738955823293,0.9241967871485943
47,0.1827309236947791,0.9954819277108434
48,0.18800200803212852,0.9716365461847389
49,0.045180722891566265,0.9934738955823293
50,0.18724899598393574,0.9628514056224899
51,0.09989959839357429,0.9252008032128514
52,0.19394243641231593,0.9668674698795181
53,0.1922690763052209,0.9558232931726908
54,0.03890562248995984,0.9882028112449799
55,0.15085341365461846,0.9239457831325301
56,0.19544846050870146,0.9737282463186078
57,0.10893574297188754,0.9166666666666666
58,0.048192771084337345,0.9809236947791163
59,0.19528112449799198,0.9613453815261044
60,0.20433457969810276,0.963630383603379
61,0.15562248995983935,0.9186746987951807
62,0.03162650602409638,0.9850652610441767
63,0.028112449799196786,0.9799196787148594
64,0.20921922986061894,0.9535199622017482
65,0.133785140562249,0.9236947791164658
66,0.019327309236947792,0.9882028112449799
67,0.169929718875502,0.918925702811245
68,0.04149933065595716,0.9718875502008032
69,0.01016566265060241,0.9947289156626506
70,0.17520080321285142,0.9136546184738956
71,0.04116465863453815,0.9668674698795181
72,0.04743975903614458,0.9708835341365462
73,0.17796184738955823,0.9269578313253012
74,0.028112449799196786,0.964859437751004
75,0.1769578313253012,0.9096385542168675
76,0.00828313253012048,0.9774096385542169
77,0.04191767068273092,0.9244477911646586
78,0.0035140562248995983,0.9964859437751004
79,0.0018646012621916235,0.9880952380952381
80,0.18423694779116465,0.9166666666666666
81,0.10868473895582328,0.8822791164658634
82,0.018323293172690762,0.9553212851405622
83,0.03614457831325301,0.9176706827309237
84,0.01037483266398929,0.9630187416331996
85,0.01857429718875502,0.9503012048192772
86,0.10341365461847389,0.876004016064257
87,0.19252008032128515,0.9156626506024097
88,0.02208835341365462,0.9477911646586346
89,0.19779116465863456,0.9183400267737617
90,0.024849397590361446,0.9415160642570282
91,0.12617135207496652,0.8664658634538153
92,0.20607429718875503,0.9151606425702812
93,0.1764558232931727,0.8787650602409639
94,0.21285140562248994,0.9116465863453815
95,0.21335341365461846,0.8945783132530121
96,0.13855421686746988,0.8780120481927711
97,0.21619812583668008,0.9394243641231593
98,0.10341365461847389,0.8504016064257028
