lineIndex,pointIndex0,pointIndex1,pointIndex2,pointIndex3,pointIndex4,pointIndex5,pointIndex6
0,0,1,2
1,2,4,7
2,2,3,5,6,8
3,9,10,11,12,13,14
4,14,15,17,18
5,19,20,21,22,23,24,25
6,28,30,32,33
7,35,36,37,38,39,40,41
8,41,42
9,43,44,45,46,47,48,49
10,51,52,53,54,55,56
11,56,57,58
12,59,60,61,62,63,64,65
13,65,67,68
