lineIndex,pointIndex0,pointIndex1,pointIndex2,pointIndex3,pointIndex4,pointIndex5,pointIndex6,pointIndex7,pointIndex8,pointIndex9,pointIndex10
0,1,2
1,2,3,4
2,2,5
3,4,7,8
4,4,6,9,11
5,8,10,12,13
6,13,14,15,16
7,17,18,19
8,19,21,22
9,20,23
10,25,27,28
11,28,29,30
12,37,38,39
13,37,41
14,42,44,45,46
15,47,48
16,48,49,50
17,50,52,53,54,55,56
18,56,58,60
19,60,62,63,64,65
20,69,72
21,74,75,76
22,76,77,78
23,78,79,80,81,82,83,84,85,86
24,86,88,93
25,87,89,92
26,87,90,91
27,93,97,102,103,104
28,93,96,95
29,95,98
30,98,99,101
31,104,105,106,107
32,108,112
33,108,109,110,111,113,114,115,116,117,118
34,119,120,121,122
35,122,124,125
36,126,127,130
37,130,131,134
38,132,135
39,134,136,138
40,134,137
41,135,140,142
42,142,144
43,142,143,145
44,147,148,149,151
45,147,150
46,150,154,157,159,163
47,153,155,156,158,160
48,160,162,164
49,163,165,167,169
50,163,166,168
51,170,171,172
52,172,173,175,176,177
53,178,179
54,179,181
55,179,180
56,181,185,186
57,181,184,186
58,186,187,188
59,191,192,193,196
60,191,194,195
61,195,198,201
62,196,200
63,199,202,203
64,201,204,205,206,207,208,209,210
65,214,217
66,215,219
67,219,221
68,219,223,225
69,222,224,227
70,222,226
71,225,228
72,225,234
73,226,230
74,227,232,240
75,228,233,238
76,229,236
77,230,246
78,229,239,231
79,231,235,243
80,234,244
81,237,241,247
82,237,249
83,240,250,255,259
84,243,252
85,249,254,262,266
86,249,251,253,258
87,249,257
88,252,256,260,265,269,272
89,259,264,267,268
90,261,270,276
91,268,273
92,280,283,287,288
93,280,281,282
94,288,290,291,292,293
95,294,295,296,297
96,297,299,302
97,297,298,301,303
98,302,304,306
99,302,305,308,310,311,312,313,314,315
100,306,309
101,317,318,319
102,319,320,321,322,323,324,325,326,327,328
103,328,329
104,328,331,332
105,329,335
106,329,333,338,340
107,346,345,344,341,342,343
108,347,350,351,352,353,354,355,356,357,358,359
109,359,360
110,360,362,364,365,366,367
111,360,361,363
112,368,369,371
113,368,370,372,373
114,374,376
115,377,378,379
116,379,380
117,380,381,383,384
118,380,382,385
119,384,386,385
120,385,388
121,388,390,392
122,389,393,392
123,392,394,396
124,392,395
125,392,396
126,396,397
127,397,399,405
128,397,398,401
129,397,400,401
130,401,402,404,406,408
131,401,403,407
132,409,410,411,412,413
133,413,414,416,417,418
134,420,421,423,424
135,420,422
136,424,425
