"geometry","file","degree","betweenness","closeness","component"
c(0.416667, 0.250502),"C5_011_calculations.json",1,0,1,19
c(0.150351, 0.182856),"C5_011_calculations.json",3,15,0.0909090909090909,3
c(0.154367, 0.170432),"C5_011_calculations.json",3,11,0.0769230769230769,3
c(0.160392, 0.173946),"C5_011_calculations.json",1,0,0.0526315789473684,3
c(0.163153, 0.149096),"C5_011_calculations.json",1,0,0.0526315789473684,3
c(0.129267, 0.148343),"C5_011_calculations.json",3,11,0.0769230769230769,3
c(0.111446, 0.169679),"C5_011_calculations.json",1,0,0.0526315789473684,3
c(0.137718, 0.141232),"C5_011_calculations.json",1,0,0.0526315789473684,3
c(0.128514, 0.139558),"C5_011_calculations.json",1,0,1,20
c(0.119478, 0.12751),"C5_011_calculations.json",1,0,1,20
c(0.155981, 0.13296),"C5_011_calculations.json",3,11,0.0222222222222222,1
c(0.166308, 0.128514),"C5_011_calculations.json",3,20,0.0277777777777778,1
c(0.198963, 0.121653),"C5_011_calculations.json",3,35,0.0344827586206897,1
c(0.187249, 0.105924),"C5_011_calculations.json",1,0,0.025,1
c(0.307271, 0.114416),"C5_011_calculations.json",4,42,0.037037037037037,1
c(0.295432, 0.123243),"C5_011_calculations.json",1,0,0.0263157894736842,1
c(0.311747, 0.123996),"C5_011_calculations.json",1,0,0.0263157894736842,1
c(0.325301, 0.10881),"C5_011_calculations.json",3,21,0.0294117647058824,1
c(0.333333, 0.117972),"C5_011_calculations.json",1,0,0.0222222222222222,1
c(0.281627, 0.197289),"C5_011_calculations.json",1,0,0.037037037037037,2
c(0.302041, 0.177041),"C5_011_calculations.json",3,7,0.05,2
c(0.311948, 0.175602),"C5_011_calculations.json",4,17,0.0666666666666667,2
c(0.306225, 0.185241),"C5_011_calculations.json",1,0,0.0454545454545455,2
c(0.326255, 0.168223),"C5_011_calculations.json",3,19,0.0714285714285714,2
c(0.33816, 0.173193),"C5_011_calculations.json",3,13,0.0588235294117647,2
c(0.333835, 0.179217),"C5_011_calculations.json",1,0,0.0416666666666667,2
c(0.332999, 0.162149),"C5_011_calculations.json",1,0,0.0416666666666667,2
