clusterIndex,lineIndex0,lineIndex1,lineIndex2,lineIndex3,lineIndex4,lineIndex5,lineIndex6,lineIndex7,lineIndex8
0,0,1,3
1,2
2,4,5
3,6
4,7
5,8,9,12,13
6,10,11
7,14
8,15,16,17
9,18,19,20
10,21,22
11,23,24,25
12,26,27,28,29,33,31,36,37,30
13,32,34,35
14,38,39
15,40,41,42,43
16,44,45,46,47
17,48,49
18,50,51
19,52,53,54,55
20,56,57,58,59
