name,value,lineIndex,clusterIndex
fractalDimension,1.3328417407681288,,
linesInImage,244,,
clustersInImage,15,,
linesInCluster,124,,0
linesInCluster,1,,1
linesInCluster,1,,2
linesInCluster,8,,3
linesInCluster,2,,4
linesInCluster,34,,5
linesInCluster,27,,6
linesInCluster,3,,7
linesInCluster,22,,8
linesInCluster,4,,9
linesInCluster,7,,10
linesInCluster,1,,11
linesInCluster,3,,12
linesInCluster,2,,13
linesInCluster,5,,14
averageLineLength,0.043491297954250316,,0
averageLineLength,0.016870673528662054,,1
averageLineLength,0.015550208599638404,,2
averageLineLength,0.017714451436433905,,3
averageLineLength,0.016167842716615376,,4
averageLineLength,0.07243623408069129,,5
averageLineLength,0.05994741601942201,,6
averageLineLength,0.05455363271545028,,7
averageLineLength,0.03499032586779474,,8
averageLineLength,0.027988793115563664,,9
averageLineLength,0.016730460903577885,,10
averageLineLength,0.01950790602484872,,11
averageLineLength,0.020513633898047036,,12
averageLineLength,0.014428058164750526,,13
averageLineLength,0.016932767356878455,,14
sinuosity,1.0418017756742621,0,
sinuosity,1.0,1,
sinuosity,1.0,2,
sinuosity,1.0,3,
sinuosity,1.1215448689652174,4,
sinuosity,1.0,5,
sinuosity,1.0,6,
sinuosity,1.0001266346061741,7,
sinuosity,1.0,8,
sinuosity,1.0,9,
sinuosity,1.0,10,
sinuosity,1.0454554315455422,11,
sinuosity,1.0,12,
sinuosity,1.0,13,
sinuosity,1.0020840305146068,14,
sinuosity,1.0570081198841466,15,
sinuosity,1.0562449167293855,16,
sinuosity,1.0487371774515009,17,
sinuosity,1.0,18,
sinuosity,1.0274725626806198,19,
sinuosity,1.0115175625879629,20,
sinuosity,1.0186981597991343,21,
sinuosity,1.0,22,
sinuosity,1.0,23,
sinuosity,1.0,24,
sinuosity,1.0,25,
sinuosity,1.0,26,
sinuosity,1.0,27,
sinuosity,1.0190323025164467,28,
sinuosity,1.0,29,
sinuosity,1.0593336996194598,30,
sinuosity,1.0593474563643202,31,
sinuosity,1.058061905544219,32,
sinuosity,1.0,33,
sinuosity,1.0000067046094185,34,
sinuosity,1.0,35,
sinuosity,1.0,36,
sinuosity,1.0,37,
sinuosity,1.1274158061268684,38,
sinuosity,1.0317341995737934,39,
sinuosity,1.0,40,
sinuosity,2.568960131215334,41,
sinuosity,1.0,42,
sinuosity,1.0,43,
sinuosity,1.0012191516983424,44,
sinuosity,1.0,45,
sinuosity,1.0479573550648948,46,
sinuosity,1.0,47,
sinuosity,1.0,48,
sinuosity,1.0,49,
sinuosity,1.0,50,
sinuosity,1.0,51,
sinuosity,1.0,52,
sinuosity,1.0000033148688874,53,
sinuosity,1.0426156761785155,54,
sinuosity,1.0,55,
sinuosity,1.0,56,
sinuosity,1.0843158199289507,57,
sinuosity,1.0,58,
sinuosity,1.0,59,
sinuosity,1.0,60,
sinuosity,1.099098889070406,61,
sinuosity,1.0,62,
sinuosity,1.0,63,
sinuosity,1.0,64,
sinuosity,1.0,65,
sinuosity,1.0,66,
sinuosity,1.0,67,
sinuosity,1.0,68,
sinuosity,1.0,69,
sinuosity,1.0285889748762194,70,
sinuosity,1.0,71,
sinuosity,1.0,72,
sinuosity,1.0,73,
sinuosity,1.0,74,
sinuosity,1.0,75,
sinuosity,1.0,76,
sinuosity,1.0,77,
sinuosity,1.0,78,
sinuosity,1.0133461085545128,79,
sinuosity,1.0,80,
sinuosity,1.0,81,
sinuosity,1.0,82,
sinuosity,1.0428313965196028,83,
sinuosity,1.0,84,
sinuosity,1.0,85,
sinuosity,1.0,86,
sinuosity,1.0531243495719727,87,
sinuosity,1.0,88,
sinuosity,1.0,89,
sinuosity,1.0,90,
sinuosity,1.0,91,
sinuosity,1.0042363471175306,92,
sinuosity,1.0010427110125057,93,
sinuosity,1.0,94,
sinuosity,1.0,95,
sinuosity,1.0,96,
sinuosity,1.0,97,
sinuosity,1.0,98,
sinuosity,1.0,99,
sinuosity,1.0079447753873991,100,
sinuosity,1.0,101,
sinuosity,1.0,102,
sinuosity,1.0,103,
sinuosity,1.0,104,
sinuosity,1.0,105,
sinuosity,1.0,106,
sinuosity,1.0,107,
sinuosity,1.0,108,
sinuosity,1.083495208597025,109,
sinuosity,1.0,110,
sinuosity,1.0,111,
sinuosity,1.0000830461282115,112,
sinuosity,1.0,113,
sinuosity,1.0,114,
sinuosity,1.0,115,
sinuosity,1.0,116,
sinuosity,1.0,117,
sinuosity,1.0,118,
sinuosity,1.0,119,
sinuosity,1.0,120,
sinuosity,1.0,121,
sinuosity,1.0,122,
sinuosity,1.0,123,
sinuosity,1.0,124,
sinuosity,1.0,125,
sinuosity,1.0,126,
sinuosity,1.0,127,
sinuosity,1.0,128,
sinuosity,1.0,129,
sinuosity,1.0,130,
sinuosity,1.0,131,
sinuosity,1.0,132,
sinuosity,1.0,133,
sinuosity,1.1387063955883712,134,
sinuosity,1.0,135,
sinuosity,1.0,136,
sinuosity,1.0,137,
sinuosity,1.0,138,
sinuosity,1.0184638247543896,139,
sinuosity,1.0,140,
sinuosity,1.0,141,
sinuosity,1.0,142,
sinuosity,1.0,143,
sinuosity,1.1257138139097642,144,
sinuosity,1.0219787872489317,145,
sinuosity,1.0354052758648842,146,
sinuosity,1.0,147,
sinuosity,1.0005930050609666,148,
sinuosity,1.0,149,
sinuosity,1.0,150,
sinuosity,1.0,151,
sinuosity,1.0,152,
sinuosity,1.0,153,
sinuosity,1.0,154,
sinuosity,1.043566746712041,155,
sinuosity,1.0,156,
sinuosity,1.0,157,
sinuosity,1.0,158,
sinuosity,1.0,159,
sinuosity,1.0,160,
