lineIndex,pointIndex0,pointIndex1,pointIndex2,pointIndex3,pointIndex4,pointIndex5,pointIndex6,pointIndex7,pointIndex8,pointIndex9,pointIndex10,pointIndex11,pointIndex12,pointIndex13,pointIndex14,pointIndex15,pointIndex16,pointIndex17,pointIndex18,pointIndex19
0,4,1,0,2,3,5,7,8,9,10,11,12,13,14,15,16,17,18,19
1,20,21
2,21,22,24
3,21,23
4,23,25,26,28,33,34,38,42,47,49,51,54
5,27,29,31
6,27,30
7,32,35,37
8,32,36,39,44
9,37,41
10,37,40,43,46
11,41,45,48
12,48,50
13,50,53,55
14,55,57,59
15,55,56,58,60
16,59,61,65,67
17,59,62,64
18,60,66,68
19,67,70
20,71,73,74,75,76,77
21,77,79,82,86,88,89
22,80,83,87
23,81,85
24,81,84,87
25,90,91,92
26,92,94
27,92,95,98,99,102,104,105,106,107,108,109,110,111,112,113
28,92,93,97,100,103
29,96,101
30,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133
31,134,135,136,137,138,139,140,141,142,143,144
32,144,150
33,144,146,147,148,149
34,150,151,152
35,154,155,156
36,156,158
37,156,157,160
38,158,159,162
39,161,162
40,162,164,166,170,172,173,174
41,162,163,165,167,168,169,171
42,175,176,178
43,175,177,179,180,184,185
44,178,181
45,181,183,186
46,185,187,190
47,186,189,188
48,191,193,194
49,196,197,198,199,200,201,202,203,204,205,206
50,206,207,208,210
51,206,209,211,212,216,218
52,210,214,215,217,219
53,219,221,223,225,226,227,228
54,219,220,222,224
55,229,228
56,228,231,232
57,232,233,234
58,236,237,238,239
59,239,240,243,245
60,239,241,242,244
61,245,247
62,247,248,250,251
63,247,249
64,252,253,254,255,256,257,258,259,260,261,262
65,262,265
66,262,264,266
67,262,263,267
68,268,269,270,271
69,271,273,274,277,278,280,282,283,284,285,286
70,272,276,279,281
71,288,289,290,291,292,293
72,293,294,297,298
73,293,295,296,299
74,299,300
75,299,301,303
76,303,305
77,304,307,311
78,306,309,310
79,310,313,314
80,311,315,316
81,317,318,319,320
82,320,321,322,323,324,325,326,327,328,329
83,329,330
