name,value,lineIndex,clusterIndex
fractalDimension,1.024383285511066,,
linesInImage,83,,
clustersInImage,29,,
linesInCluster,4,,0
linesInCluster,1,,1
linesInCluster,2,,2
linesInCluster,1,,3
linesInCluster,2,,4
linesInCluster,8,,5
linesInCluster,1,,6
linesInCluster,4,,7
linesInCluster,3,,8
linesInCluster,1,,9
linesInCluster,1,,10
linesInCluster,2,,11
linesInCluster,4,,12
linesInCluster,4,,13
linesInCluster,10,,14
linesInCluster,4,,15
linesInCluster,2,,16
linesInCluster,2,,17
linesInCluster,3,,18
linesInCluster,1,,19
linesInCluster,1,,20
linesInCluster,5,,21
linesInCluster,2,,22
linesInCluster,1,,23
linesInCluster,6,,24
linesInCluster,1,,25
linesInCluster,3,,26
linesInCluster,2,,27
linesInCluster,2,,28
averageLineLength,0.018448131869563875,,0
averageLineLength,0.03782719061276758,,1
averageLineLength,0.017829190702839323,,2
averageLineLength,0.0694294391656323,,3
averageLineLength,0.0594992632943376,,4
averageLineLength,0.032779159182414544,,5
averageLineLength,0.06338846548659564,,6
averageLineLength,0.03192231980926374,,7
averageLineLength,0.029027172615362935,,8
averageLineLength,0.022721613004079308,,9
averageLineLength,0.02988986602883914,,10
averageLineLength,0.013903872535806903,,11
averageLineLength,0.013250288271248025,,12
averageLineLength,0.036380428134638945,,13
averageLineLength,0.01904310428178694,,14
averageLineLength,0.018412768121223503,,15
averageLineLength,0.030294750578260872,,16
averageLineLength,0.036038336493442825,,17
averageLineLength,0.023194118839652538,,18
averageLineLength,0.04512758475914483,,19
averageLineLength,0.010533535749624727,,20
averageLineLength,0.028717973152287784,,21
averageLineLength,0.08777552922045931,,22
averageLineLength,0.03265949352204382,,23
averageLineLength,0.023615778642315326,,24
averageLineLength,0.037741193847201704,,25
averageLineLength,0.022575141950985405,,26
averageLineLength,0.02705176392822936,,27
averageLineLength,0.021358111298610236,,28
sinuosity,1.0175243765082667,0,
sinuosity,1.352782024356278,1,
sinuosity,1.0,2,
sinuosity,1.1482694285206443,3,
sinuosity,1.0268168511778186,4,
sinuosity,1.0011289640800833,5,
sinuosity,1.2031599938286703,6,
sinuosity,1.0352171390138656,7,
sinuosity,1.066443469302257,8,
sinuosity,1.1295484635143798,9,
sinuosity,1.0678071823282118,10,
sinuosity,1.0736720530591766,11,
sinuosity,1.0,12,
sinuosity,1.0544036266047605,13,
sinuosity,1.158031979194917,14,
sinuosity,1.0228375232150366,15,
sinuosity,1.0135970784737869,16,
sinuosity,1.015325750161441,17,
sinuosity,1.3031364812744362,18,
sinuosity,1.0379386799299244,19,
sinuosity,1.3692422986801815,20,
sinuosity,1.0,21,
sinuosity,1.0,22,
sinuosity,1.0044717594651844,23,
sinuosity,1.0,24,
sinuosity,1.1148005897686037,25,
sinuosity,1.0278569649836644,26,
sinuosity,1.100880189762789,27,
sinuosity,1.0,28,
sinuosity,1.483709585652624,29,
sinuosity,1.0050373463601323,30,
sinuosity,1.149152819574205,31,
sinuosity,1.1015431585676811,32,
sinuosity,1.0,33,
sinuosity,1.1246233285838556,34,
sinuosity,1.0107888021852494,35,
sinuosity,1.2200578943927125,36,
sinuosity,1.0789639680417031,37,
sinuosity,1.0269213829705544,38,
sinuosity,1.0748299970294797,39,
sinuosity,1.0,40,
sinuosity,1.1711119691247238,41,
sinuosity,1.0,42,
sinuosity,1.0,43,
sinuosity,1.239574308869609,44,
sinuosity,1.0000164499626807,45,
sinuosity,1.0635152113841466,46,
sinuosity,1.0672387552835616,47,
sinuosity,1.0066229222260576,48,
sinuosity,1.0,49,
sinuosity,1.0778378887679403,50,
sinuosity,1.0,51,
sinuosity,1.0217247392282929,52,
sinuosity,1.0,53,
sinuosity,1.0085337418922398,54,
sinuosity,1.1252418760142806,55,
sinuosity,1.0530904901025697,56,
sinuosity,1.2096114384511905,57,
sinuosity,1.0450674549418015,58,
sinuosity,1.0546627695925475,59,
sinuosity,1.1652119059370467,60,
sinuosity,1.0703763666309445,61,
sinuosity,1.006623254451367,62,
sinuosity,1.0335660044962651,63,
sinuosity,1.0489013919831753,64,
sinuosity,1.0967541404431689,65,
sinuosity,1.1502530566746485,66,
sinuosity,1.2363283214576706,67,
sinuosity,1.0427602534564608,68,
sinuosity,1.0,69,
sinuosity,1.106750729460685,70,
sinuosity,1.0187881598924047,71,
sinuosity,1.563041070717117,72,
sinuosity,1.3600474188915501,73,
sinuosity,1.1197575325917266,74,
sinuosity,1.0471567485925368,75,
sinuosity,1.317626914800225,76,
sinuosity,1.0110166451669813,77,
sinuosity,1.1512930462392872,78,
sinuosity,1.046725547070269,79,
sinuosity,1.02900704435472,80,
sinuosity,1.0394376003194028,81,
sinuosity,1.095419618008553,82,
centerLineWidth,0.0050200803212851405,0,
centerLineWidth,0.023092369477911646,1,
centerLineWidth,0.008032128514056224,2,
centerLineWidth,0.004016064257028112,3,
centerLineWidth,0.004518072289156626,4,
centerLineWidth,0.008032128514056224,5,
centerLineWidth,0.007028112449799197,6,
centerLineWidth,0.0050200803212851405,7,
centerLineWidth,0.0050200803212851405,8,
centerLineWidth,0.007530120481927711,9,
centerLineWidth,0.004518072289156626,10,
centerLineWidth,0.007530120481927711,11,
centerLineWidth,0.009036144578313253,12,
centerLineWidth,0.004016064257028112,13,
centerLineWidth,0.007530120481927711,14,
centerLineWidth,0.004016064257028112,15,
centerLineWidth,0.004518072289156626,16,
